customer_id,customer_acct_num,first_name,last_name,customer_address,customer_city,customer_state_province,customer_postal_code,customer_country,birthdate,marital_status,yearly_income,gender,total_children,num_children_at_home,education,acct_open_date,member_card,occupation,homeowner
23,87678398489,Shauna,Wyro,3114 Notre Dame Ave.,La Jolla,CA,27430,USA,10/24/1916,S,$30K - $50K,F,2,0,High School Degree,8/12/1992,Silver,Manual,N
24,87681713700,Jacqueline,Wyllie,6318 Marclair Dr.,Santa Fe,DF,99737,Mexico,12/4/1921,S,$30K - $50K,F,0,0,High School Degree,5/19/1991,Bronze,Manual,N
25,87686740159,Lin,Conley,7814 Milburn Dr.,Haney,BC,65710,Canada,9/26/1952,S,$70K - $90K,F,3,0,High School Degree,11/18/1991,Bronze,Professional,N
26,87691326700,Jose,Bernard,3928 San Francisco,Burbank,CA,51809,USA,8/25/1954,S,$10K - $30K,M,0,0,Partial High School,9/21/1992,Normal,Skilled Manual,N
27,87700161933,Charles,Macaluso,5678 McElroy Court,Anacortes,WA,58052,USA,3/17/1934,M,$30K - $50K,F,1,1,High School Degree,10/21/1991,Bronze,Manual,Y
28,87709978818,Lois,Wood,2046 Las Palmas,Everett,WA,88974,USA,3/12/1970,S,$10K - $30K,F,1,0,Partial High School,9/28/1993,Silver,Manual,Y
29,87717585563,Kevin,Armstrong,608 Lincoln Dr.,Oak Bay,BC,90098,Canada,10/4/1937,S,$10K - $30K,F,2,0,Partial High School,9/1/1993,Normal,Manual,N
30,87718932032,Cody,Goldey,7230 Berrellesa Street,Milwaukie,OR,78800,USA,7/8/1917,S,$50K - $70K,F,4,0,Bachelors Degree,5/9/1993,Bronze,Professional,Y
31,87729650139,Paula,Nickell,2144 San Rafael,Concord,CA,63996,USA,7/2/1978,M,$50K - $70K,F,4,3,Graduate Degree,2/6/1991,Golden,Professional,Y
32,87738383412,Eric,Long,1676 Greer Ave.,Ladner,BC,99949,Canada,1/8/1930,S,$10K - $30K,F,2,0,Partial High School,6/23/1991,Normal,Manual,Y
33,87742803692,Mary,Solimena,6843 San Simeon Dr.,Santa Cruz,CA,51307,USA,7/23/1971,M,$30K - $50K,F,2,2,High School Degree,8/15/1992,Bronze,Skilled Manual,N
34,87767067000,Nathan,Muenich,6629 Polson Circle,La Mesa,CA,53422,USA,10/21/1919,M,$50K - $70K,F,3,1,Bachelors Degree,2/27/1990,Silver,Management,Y
35,87771052718,Ed,Young,Rt. 470 Box A,Merida,Yucatan,69940,Mexico,4/17/1920,M,$30K - $50K,M,5,1,Partial College,9/21/1992,Bronze,Skilled Manual,Y
36,87788449525,Donna,Arnold,7403 N. Broadway,Oregon City,OR,38217,USA,11/22/1915,S,$10K - $30K,M,1,0,Partial High School,6/24/1990,Normal,Skilled Manual,N
37,87797676324,Jennifer,Cooper,5734 Ashford Court,Seattle,WA,93604,USA,4/6/1961,S,$50K - $70K,M,0,0,Bachelors Degree,6/2/1992,Bronze,Professional,N
38,87801286578,Peggy,Petty,8684 Military East,Arcadia,CA,28043,USA,4/9/1958,S,$30K - $50K,M,1,0,Partial College,6/8/1993,Bronze,Management,N
39,87808394432,Jessica,Olguin,7270 Pepperidge Way,Lebanon,OR,49592,USA,1/23/1959,M,$90K - $110K,F,4,2,Graduate Degree,3/10/1992,Bronze,Professional,Y
40,87814209461,Phyllis,Burchett,475 Santa Maria,Santa Cruz,CA,49192,USA,10/27/1926,S,$110K - $130K,M,1,0,Partial College,8/14/1992,Bronze,Professional,Y
41,87818307900,Howard,Bechard,1970 Napa Ct.,W. Linn,OR,36903,USA,4/19/1919,S,$110K - $130K,M,1,0,High School Degree,10/10/1990,Bronze,Professional,N
42,87849287390,Doris,Carter,8084 Cardiff Drive,San Andres,DF,94169,Mexico,3/27/1965,M,$70K - $90K,F,3,3,Bachelors Degree,7/21/1993,Golden,Management,Y
43,87855359911,Juanita,Sharp,9833 Mt. Dias Blv.,Burbank,CA,48042,USA,5/16/1977,S,$50K - $70K,F,2,0,Bachelors Degree,3/19/1993,Bronze,Professional,N
44,87868926525,Sandra,Brunner,6202 Seeno St.,Bellflower,CA,52673,USA,5/20/1917,S,$30K - $50K,M,1,0,High School Degree,1/7/1992,Bronze,Skilled Manual,Y
45,87869548800,Ernest,Staton,862 The Alameda,Renton,WA,71706,USA,8/9/1916,S,$50K - $70K,M,5,0,Bachelors Degree,5/7/1994,Golden,Management,Y
46,87894418239,Rose,Sims,7484 Roundtree Drive,Mill Valley,CA,68791,USA,2/10/1928,M,$70K - $90K,F,1,1,Graduate Degree,11/22/1992,Silver,Professional,N
47,87894944000,Lauretta,De Carlo,5053 Loftus Road,Oak Bay,BC,53986,Canada,9/1/1951,M,$50K - $70K,M,0,0,Bachelors Degree,5/17/1992,Bronze,Professional,N
48,87901939153,Mary,Williams,1930 Almondwood Drive,Camacho,Zacatecas,89939,Mexico,10/17/1927,M,$50K - $70K,M,0,0,Bachelors Degree,5/4/1994,Bronze,Professional,N
49,87902239561,Terri,Burke,9752 Jeanne Circle,Arcadia,CA,41297,USA,12/2/1930,S,$30K - $50K,F,4,0,High School Degree,4/20/1992,Bronze,Skilled Manual,N
50,87910291552,Audrey,Osborn,9539 Glenside Dr,Altadena,CA,43412,USA,3/9/1922,S,$110K - $130K,M,4,0,Partial High School,6/3/1993,Bronze,Professional,Y
51,87923139333,Brian,Binai,7616 Honey Court,Oakland,CA,33639,USA,5/2/1955,M,$90K - $110K,F,4,2,Graduate Degree,12/5/1993,Bronze,Professional,N
52,87939313100,Concepcion,Lozada,7657 H St.,Tixapan,DF,19185,Mexico,9/4/1912,S,$70K - $90K,F,3,0,Bachelors Degree,3/19/1994,Silver,Professional,N
53,87952010600,Paul,Tays,5988 Red Leaf,Oak Bay,BC,83595,Canada,12/24/1932,M,$70K - $90K,M,4,2,Graduate Degree,7/10/1993,Normal,Management,Y
54,87954998600,Cheryl,Thorton,8938 West Hookston Road,Metchosin,BC,18033,Canada,9/24/1961,S,$30K - $50K,F,0,0,Partial College,7/24/1992,Bronze,Professional,Y
55,87961350083,Gary,Dumin,181 Gainsborough Drive,Grossmont,CA,39583,USA,2/8/1924,M,$10K - $30K,M,3,2,Partial High School,3/10/1992,Normal,Skilled Manual,Y
56,87965223193,Pat,Chin,3385 Crestview Drive,Imperial Beach,CA,39182,USA,11/21/1935,S,$10K - $30K,M,3,0,Partial High School,4/11/1990,Normal,Manual,N
57,87978752300,Zach,Lovell,6912 Laguna St.,San Andres,DF,26893,Mexico,12/10/1960,S,$10K - $30K,M,3,0,Partial High School,5/15/1991,Golden,Manual,Y
58,87986992001,Dave,Ratcliff,371 Ahneita Dr.,Oakland,CA,65362,USA,4/4/1956,S,$30K - $50K,F,3,0,Partial High School,11/24/1992,Bronze,Skilled Manual,N
59,88010123400,Elizabeth,Moss,4776 Kentucky Drive,Burnaby,BC,70204,Canada,6/1/1942,M,$30K - $50K,M,5,5,High School Degree,3/19/1993,Bronze,Manual,Y
60,88018041300,Lori,Anderson,1145 Paraiso Ct.,Langley,BC,74834,Canada,2/2/1914,S,$30K - $50K,M,3,0,Partial College,9/4/1990,Silver,Skilled Manual,Y
61,88049879074,Michael,Everson,3148 Rose Street,Tacoma,WA,93868,USA,2/15/1945,M,$70K - $90K,M,1,0,Bachelors Degree,2/26/1991,Bronze,Professional,N
62,88067190100,Mary,Borden,2427 Notre Dame Ave.,Santa Monica,CA,64660,USA,6/25/1931,M,$30K - $50K,M,1,1,High School Degree,5/12/1991,Golden,Skilled Manual,Y
63,88081979800,Sue,Willson,7340 Green St.,Tlaxiaco,Oaxaca,49856,Mexico,10/13/1916,S,$70K - $90K,F,4,0,Bachelors Degree,6/4/1992,Bronze,Professional,N
64,88084045052,Clayton,Harris,6872 Thornwood Dr.,Beaverton,OR,85809,USA,8/13/1932,S,$10K - $30K,M,4,0,Partial High School,2/26/1993,Normal,Manual,Y
65,88096334934,Whitney,Contreras,2040 Encino Drive,Metchosin,BC,37167,Canada,9/7/1979,M,$90K - $110K,F,0,0,Partial College,11/23/1990,Normal,Management,Y
66,88112406730,Boyd,Pusedu,1826 Corte Del Sol,Metchosin,BC,39282,Canada,8/11/1933,M,$110K - $130K,F,4,4,Partial College,9/3/1992,Silver,Professional,Y
67,88115072846,Cian,Stedman,9903 East Leland,Westminster,BC,55800,Canada,7/1/1928,M,$30K - $50K,M,3,1,Partial College,1/3/1991,Bronze,Skilled Manual,Y
68,88118441700,Michele,Zocchi,9943 Stonehedge Dr.,Hidalgo,Zacatecas,24077,Mexico,7/27/1917,S,$30K - $50K,F,0,0,High School Degree,11/13/1993,Silver,Manual,Y
69,88137775063,Jean,Walsh,931 Corte De Luna,Los Angeles,CA,79465,USA,6/17/1969,M,$10K - $30K,M,1,1,Partial High School,3/12/1991,Normal,Skilled Manual,Y
70,88144207000,Leopoldo,Renfro,1226 Shoenic,Coronado,CA,13903,USA,3/26/1972,M,$30K - $50K,M,0,0,High School Degree,7/13/1991,Bronze,Manual,Y
71,88161163926,Donna,Brockett,2467 Clearland Circle,La Cruz,Sinaloa,61745,Mexico,4/8/1967,S,$10K - $30K,M,5,0,Partial High School,11/20/1990,Normal,Manual,N
72,88161249756,Laurie,Anderson,5671 Bel Air Dr.,Shawnee,BC,35052,Canada,9/17/1940,M,$10K - $30K,F,5,5,Partial High School,12/3/1992,Normal,Skilled Manual,Y
73,88168829679,Louis,Gomez,7166 Brock Lane,Yakima,WA,49055,USA,2/28/1925,M,$30K - $50K,F,4,3,High School Degree,10/7/1992,Golden,Skilled Manual,Y
74,88172026872,Julie,Walker,3281 Hillview Dr.,Ballard,WA,87524,USA,4/3/1965,S,$50K - $70K,M,3,0,Bachelors Degree,3/24/1992,Bronze,Professional,Y
75,88182830810,Jay,Jones,5030 Blue Ridge Dr.,Lynnwood,WA,35227,USA,3/25/1913,S,$30K - $50K,F,3,0,High School Degree,3/17/1990,Bronze,Manual,N
76,88185078501,Gayle,Winfrey,1399 Firestone Drive,Port Orchard,WA,66150,USA,6/23/1917,S,$70K - $90K,F,1,0,High School Degree,5/26/1994,Normal,Professional,N
77,88203880800,Yasmina,Brown,6058 Hill Street,Downey,CA,85184,USA,6/17/1921,S,$50K - $70K,M,2,0,Bachelors Degree,6/18/1992,Normal,Professional,Y
78,88243577480,Joseph,Touchstone,2681 Eagle Peak,Salem,OR,55976,USA,6/24/1940,M,$10K - $30K,M,1,1,Partial High School,5/2/1994,Silver,Manual,Y
79,88249907493,Mary,Bakhtyari,7594 Alexander Pl.,Tacoma,WA,41172,USA,7/10/1957,S,$70K - $90K,M,2,0,Bachelors Degree,6/2/1994,Bronze,Management,Y
80,88262524604,Melvin,Glass,7126 Edie Ct.,Lemon Grove,CA,77125,USA,4/18/1946,S,$70K - $90K,F,1,0,Bachelors Degree,11/11/1992,Bronze,Management,Y
81,88265968561,Kristin,Cohen,2294 West 39th St.,Milwaukie,OR,28482,USA,10/25/1944,S,$10K - $30K,M,2,0,Partial High School,5/5/1990,Normal,Skilled Manual,Y
82,88275710344,Susan,Kharman,2080 Sycamore Drive,Richmond,CA,30597,USA,8/10/1941,S,$10K - $30K,F,4,0,Partial High School,3/23/1993,Normal,Skilled Manual,Y
83,88284432888,Gordon,Kirschner,158 Walnut Ave,Arcadia,CA,47116,USA,3/24/1969,S,$110K - $130K,F,3,0,Partial High School,2/20/1994,Golden,Management,Y
84,88304206132,William,Burger,2854 Magda Way,Haney,BC,88099,Canada,3/5/1932,S,$50K - $70K,M,4,0,Bachelors Degree,8/27/1994,Bronze,Professional,N
85,88346847891,Lana,Blau,1185 Dallis Drive,Novato,CA,70780,USA,10/19/1946,M,$30K - $50K,M,3,3,High School Degree,8/24/1993,Golden,Skilled Manual,Y
86,88352523400,Donna,Derby,8154 Via Mexico,Bremerton,WA,52198,USA,3/25/1911,S,$30K - $50K,M,4,0,Partial High School,11/6/1992,Normal,Skilled Manual,Y
87,88355388045,Kathleen,Thomson,6740 Jalisco,N. Vancouver,BC,26768,Canada,4/15/1949,S,$70K - $90K,F,4,0,High School Degree,9/26/1992,Bronze,Management,N
88,88380010700,Gabriel,Walton,2601 Cambridge Drive,Milwaukie,OR,26367,USA,2/11/1943,S,$30K - $50K,F,2,0,High School Degree,9/18/1992,Bronze,Manual,N
89,88386346101,Bishop,Meastas,4096 San Remo,Woodland Hills,CA,14079,USA,10/6/1974,S,$70K - $90K,F,4,0,High School Degree,4/16/1992,Bronze,Management,N
90,88386882543,Geneva,Kouba,7554 Lakeview Pl.,Sooke,BC,78839,Canada,10/5/1976,M,$70K - $90K,F,2,2,High School Degree,2/19/1993,Bronze,Professional,Y
91,88397842049,Tricia,Clark,1960 Via Catanzaro,Long Beach,CA,32712,USA,4/24/1956,M,$50K - $70K,M,1,1,Bachelors Degree,12/20/1990,Bronze,Professional,N
92,88398657441,Debi,Munn,5672 Hale Dr.,Arcadia,CA,61730,USA,8/3/1934,M,$30K - $50K,M,4,2,High School Degree,5/7/1993,Bronze,Skilled Manual,Y
93,88416295647,Patricia,Goldberg,332 Laguna Niguel,Woodburn,OR,80763,USA,3/22/1970,M,$130K - $150K,M,5,4,Bachelors Degree,5/8/1993,Golden,Professional,Y
94,88416842818,Susan,Magenheim,6954 Garcia Ranch Road,Vancouver,BC,77848,Canada,9/15/1939,S,$10K - $30K,M,1,0,Partial High School,12/15/1993,Normal,Skilled Manual,Y
95,88426868915,Nancy,Hance,4523 Via Cortez,Tlaxiaco,Oaxaca,63043,Mexico,9/9/1930,S,$130K - $150K,F,2,0,Graduate Degree,9/13/1991,Silver,Professional,Y
96,88445172309,Rhonda,Mehlert,1400 Gibrix Drive,Beaverton,OR,98996,USA,3/15/1951,S,$50K - $70K,M,0,0,Bachelors Degree,10/18/1990,Normal,Management,Y
97,88470690800,Paula,Duran,9222 Roseann Drive,Richmond,BC,50354,Canada,8/3/1923,M,$50K - $70K,M,4,4,High School Degree,4/21/1992,Golden,Skilled Manual,Y
98,88486376400,Margaret,Earley,9009 W 46th St,Richmond,BC,52469,Canada,3/12/1952,M,$130K - $150K,F,1,1,High School Degree,9/7/1990,Bronze,Management,Y
99,88506181836,Elizabeth,Horne,7086 O St.,Port Orchard,WA,42696,USA,4/9/1934,S,$30K - $50K,F,3,0,Bachelors Degree,5/28/1992,Bronze,Professional,N
100,88506991900,Mary,Hunt,7127 Morengo Court,San Jose,CA,10972,USA,12/14/1929,M,$90K - $110K,F,2,2,Partial High School,8/6/1990,Silver,Professional,Y
101,88507222533,Libby,Allen,5458 Encino Drive,N. Vancouver,BC,92652,Canada,4/26/1975,S,$10K - $30K,F,1,0,Partial High School,7/16/1993,Normal,Manual,N
102,88530171513,Bonnie,Bruno,8408 Via Del Sol,Langford,BC,99797,Canada,5/2/1972,M,$30K - $50K,M,2,0,Bachelors Degree,10/6/1990,Bronze,Professional,N
103,88531920313,Angela,Bowers,9650 Valley View Road,Acapulco,Guerrero,48640,Mexico,5/27/1914,M,$50K - $70K,M,5,3,Bachelors Degree,4/24/1992,Golden,Professional,Y
104,88537885546,Donald,Gonzales,2855 Playa,Hidalgo,Zacatecas,48239,Mexico,3/4/1952,M,$30K - $50K,F,1,1,Partial College,11/12/1994,Bronze,Clerical,N
105,88539907932,Sylvester,Valdez,4350 Mota Dr.,National City,CA,35950,USA,5/12/1933,M,$150K +,M,3,3,Bachelors Degree,2/8/1992,Golden,Management,Y
106,88556258678,John,Stewart,7808 Brown St.,Long Beach,CA,74419,USA,3/20/1979,S,$50K - $70K,M,5,0,Bachelors Degree,11/19/1991,Bronze,Professional,Y
107,88589957952,Barney,Velasquez,2214 Solano,Cliffside,BC,54584,Canada,5/9/1921,M,$30K - $50K,M,2,2,High School Degree,6/17/1990,Bronze,Manual,Y
108,88593557476,Kenneth,Dubois,8582 San Jose Ave.,Shawnee,BC,59214,Canada,5/13/1931,M,$90K - $110K,M,1,1,Bachelors Degree,2/21/1993,Bronze,Management,Y
109,88597859740,Kate,Maestas,3241 Brock Lane,Newton,BC,76633,Canada,8/1/1929,S,$50K - $70K,M,2,0,Bachelors Degree,9/19/1992,Bronze,Professional,N
110,88604978322,Josie,Underwood,9863 Ridge Place,West Covina,CA,47425,USA,2/3/1942,S,$10K - $30K,M,3,0,Partial High School,8/2/1993,Normal,Manual,N
111,88620250821,Ramon,Strain,4777 Rockne Drive,Palo Alto,CA,32621,USA,10/21/1965,M,$70K - $90K,F,2,2,Bachelors Degree,2/24/1992,Bronze,Management,Y
112,88622546792,Pat,Azari,4310 Kenston Dr.,Santa Monica,CA,68574,USA,11/24/1948,M,$30K - $50K,F,4,1,High School Degree,2/11/1991,Bronze,Skilled Manual,Y
113,88624070286,Bob,Dabit,9476 Hill Top Rd.,Sooke,BC,19932,Canada,5/20/1964,M,$110K - $130K,F,2,1,Bachelors Degree,1/27/1993,Bronze,Professional,Y
114,88631725311,Marty,Carmona,9263 Mt. McKinley Ct.,Sooke,BC,22047,Canada,4/16/1943,S,$150K +,F,3,0,High School Degree,3/9/1993,Silver,Professional,Y
115,88638226985,Gina,Saxton,620 Woodside Ct.,Altadena,CA,38565,USA,6/9/1977,S,$90K - $110K,F,3,0,Bachelors Degree,9/12/1994,Silver,Professional,Y
116,88648338913,Juan,McLaughlin,661 Miller Ave.,Burnaby,BC,68422,Canada,10/11/1934,S,$90K - $110K,M,2,0,High School Degree,8/14/1994,Bronze,Management,N
117,88656943440,Carol,Eyster,1648 Eastgate Lane,Albany,OR,62230,USA,2/4/1954,M,$90K - $110K,F,3,1,Graduate Degree,4/16/1994,Bronze,Professional,Y
118,88662506341,Nancy,Henry,4598 Manila Avenue,Bremerton,WA,95667,USA,10/4/1913,S,$50K - $70K,M,2,0,Bachelors Degree,3/3/1993,Bronze,Professional,Y
119,88665478229,Chris,Barros,3183 Trasher Road,N. Vancouver,BC,18218,Canada,7/26/1957,S,$10K - $30K,M,4,0,Partial High School,5/21/1991,Normal,Manual,Y
120,88673519492,Christopher,Groome,6387 Scenic Avenue,Milwaukie,OR,17817,USA,1/28/1957,M,$30K - $50K,F,0,0,High School Degree,9/7/1990,Bronze,Skilled Manual,Y
121,88683427572,Anna,Hill,7883 Mitchell Canyon Court,Santa Monica,CA,55288,USA,2/17/1912,S,$30K - $50K,F,5,0,High School Degree,7/27/1994,Silver,Manual,Y
122,88690803647,Ramon,Williams,3997 Via De Luna,Walla Walla,WA,70289,USA,9/22/1920,M,$30K - $50K,F,4,1,High School Degree,5/19/1992,Bronze,Skilled Manual,N
123,88708876371,Scott,Masters,5747 Shirley Drive,Richmond,CA,24162,USA,7/8/1964,M,$30K - $50K,F,2,0,High School Degree,8/15/1993,Bronze,Manual,Y
124,88719449639,Joseph,"Brady, Jr.",2115 Pasado,Oakland,CA,55084,USA,9/7/1930,S,$70K - $90K,F,5,0,Bachelors Degree,3/27/1991,Bronze,Professional,N
125,88734051585,Ellen,Gray,6774 Bonanza,Bellflower,CA,20209,USA,12/4/1972,M,$70K - $90K,M,2,2,Bachelors Degree,6/22/1991,Bronze,Professional,Y
126,88735752105,Henry,Fielder,3397 Rancho View Drive,Ballard,WA,90000,USA,2/3/1947,S,$110K - $130K,F,2,0,Partial College,7/24/1990,Normal,Professional,Y
127,88744179606,Jeanine,Finnell,8310 Ridge Circle,Everett,WA,75196,USA,6/18/1932,S,$10K - $30K,M,1,0,Partial High School,11/27/1992,Normal,Skilled Manual,Y
128,88750257492,Ian,Schuetz,7842 Ygnacio Valley Road,Salem,OR,12150,USA,4/18/1947,S,$30K - $50K,F,1,0,High School Degree,8/11/1992,Bronze,Skilled Manual,N
129,88752945065,Richard,Runyon,5666 Hazelnut Lane,Concord,CA,62507,USA,5/11/1925,M,$50K - $70K,F,0,0,Bachelors Degree,11/16/1990,Bronze,Professional,Y
130,88771945834,Linda,Potter,5452 Corte Gilberto,Concord,CA,64622,USA,4/15/1949,S,$110K - $130K,F,4,0,Graduate Degree,9/23/1992,Bronze,Professional,N
131,88772315979,Mary,Smith,874 Olivera Road,La Jolla,CA,54848,USA,3/6/1944,S,$10K - $30K,M,3,0,Partial High School,12/22/1991,Normal,Manual,Y
132,88781231641,Barbara,Brumagen,3570 Court Lane,Cliffside,BC,23125,Canada,3/5/1933,S,$30K - $50K,F,0,0,High School Degree,10/6/1993,Silver,Skilled Manual,N
133,88788833022,Thelma,Hamilton,1902 Santa Cruz,Burbank,CA,58058,USA,2/22/1915,M,$30K - $50K,M,1,0,High School Degree,11/21/1990,Bronze,Skilled Manual,Y
134,88804722428,Shirley,J Wilbert,4852 Chaparral Court,Spokane,WA,39243,USA,10/4/1918,S,$50K - $70K,M,4,0,Bachelors Degree,7/6/1991,Bronze,Professional,Y
135,88820129036,Jeremy,Ingram,6093 Midway Ct.,Tixapan,DF,60792,Mexico,3/23/1924,M,$110K - $130K,M,5,0,Bachelors Degree,8/2/1994,Silver,Professional,Y
136,88825504183,Sharon,Haddix,9297 Kenston Dr.,Lynnwood,WA,60392,USA,5/22/1956,M,$150K +,M,3,3,Bachelors Degree,9/12/1991,Golden,Professional,Y
137,88846119642,Leland,Thomas,793 Crawford Street,Newport Beach,CA,48103,USA,3/8/1943,M,$130K - $150K,F,3,3,Partial College,7/13/1993,Bronze,Professional,Y
138,88880816698,Don,Wilson,4251 San Onofre Court,Oak Bay,BC,13864,Canada,9/22/1925,S,$90K - $110K,F,4,0,Partial High School,5/8/1991,Silver,Professional,Y
139,88896459341,Wayne,Stovall,8656 Lakespring Place,Coronado,CA,66736,USA,4/5/1931,M,$30K - $50K,M,1,1,Partial High School,8/12/1991,Bronze,Manual,Y
140,88966604471,Douglas,Russell,5025 Holiday Hills,La Mesa,CA,71367,USA,11/14/1947,M,$10K - $30K,M,2,1,Partial High School,10/21/1990,Normal,Skilled Manual,Y
141,88974345326,Maureen,Doose,7028 San Gabriel Dr.,Santa Anita,DF,90401,Mexico,7/24/1939,M,$10K - $30K,M,4,3,Partial High School,11/13/1992,Normal,Skilled Manual,N
142,88980621695,Ann,Morreale,6307 Grenadine Way,Renton,WA,84255,USA,7/5/1958,M,$50K - $70K,F,2,1,Bachelors Degree,10/24/1990,Golden,Professional,Y
143,89028214812,Sheila,Rupert,1220 Bradford Way,Glendale,CA,69451,USA,8/17/1975,M,$30K - $50K,F,5,5,Partial College,11/24/1990,Golden,Manual,Y
144,89028284549,Ashley,Pierson,1999 Orangewood Court,Westminster,BC,32697,Canada,6/25/1964,S,$10K - $30K,M,3,0,Partial High School,4/6/1992,Bronze,Skilled Manual,Y
145,89029260873,Ivan,Nickels,9821 Juniper Drive,Victoria,BC,56762,Canada,3/16/1974,M,$10K - $30K,M,3,3,Partial High School,10/27/1991,Normal,Manual,Y
146,89035692811,Chad,Neuhauser,9608 Grammercy Lane,Victoria,BC,58876,Canada,10/17/1960,S,$130K - $150K,M,2,0,Partial High School,8/15/1991,Bronze,Professional,Y
147,89059253334,Ann,Coke,7685 Imperial Dr,Sooke,BC,75395,Canada,5/5/1917,S,$110K - $130K,M,4,0,Bachelors Degree,12/20/1992,Bronze,Professional,Y
148,89061329364,Jon,Scarbrough,7726 Driftwood Drive,Kirkland,WA,43672,USA,4/12/1950,S,$70K - $90K,M,2,0,High School Degree,7/28/1993,Bronze,Management,N
149,89073216915,Lillian,Martensen,8713 Yosemite Ct.,Chula Vista,CA,26352,USA,11/27/1964,S,$50K - $70K,M,1,0,Bachelors Degree,7/24/1992,Bronze,Professional,Y
